numer miejsca,nazwa,nazwa angielska,Opis,współrzędne,typ,czas dojazdu ze Stravros,godziny otwarcia,najlepsza pora zwiedzania,orientacyjny czas zwiedzania,koszt zwiedzania dla rodziny 2+2,Konieczna akcja,Zaplecze gastronomiczne,Ile jedzenia,Poziom trudności ADHD,Potencjał meltdownu,Strategie na meltdown,Ochrona przed słońcem,Najlepiej połączyć z,Zadania dla dzieci
22,Wyjście Z Wąwozu Imbros,Exit of Imbros Gorge,"Komitades – urokliwa wieś u wylotu malowniczego, 8-kilometrowego wąwozu Imbros, będącego łatwiejszą i bardzo przyjazną dla rodzin alternatywą dla wąwozu Samaria.","35.2078, 24.1685",others,1 godz. 30 min,brak ograniczeń (wąwóz płatny zazwyczaj 8:00 - 16:00),rano,2 - 3 godziny (czas przejścia wąwozu),"6 EUR (dorośli: 2x3 EUR, dzieci pod opieką dorosłych bezpłatnie)",Brak (bilet kupuje się na miejscu; opcjonalnie taksówkę powrotną można uzgodnić na miejscu).,"Tak, w wiosce Komitades (na końcu wąwozu) oraz w Imbros (na początku) znajdują się świetne tradycyjne tawerny serwujące np. sfakiani pita z miodem.","Dużo (Długa trasa / Duży wysiłek) - Weź solidny zapas jedzenia do samochodu na 4–5 godzin jazdy w obie strony. Nawet jeśli przy Knossos są kawiarnie, dzieci z ADHD/AuDHD po tak długiej trasie i zwiedzaniu w słońcu będą potrzebowały natychmiastowych, sprawdzonych przekąsek bez czekania w kolejkach.","Średnie - Przejście wąwozu zajmuje 2-3 godziny po luźnych kamieniach. Może być nużące dla dziecka z ADHD i męczące dla 5-latka. Wskazówki: Podziel trasę na małe cele (np. 'dochodzimy do tamtego drzewa i jemy żelka'), urozmaicaj drogę opowieściami lub grami słownymi, zadbaj o stabilne obuwie.","Wysoki - Dzieci: Długa podróż (1.5 h) i 3-godzinny marsz po luźnych, śliskich kamieniach mogą szybko znudzić i fizycznie wyczerpać dzieci, prowadząc do buntu i odmowy dalszej drogi. Rodzice: Niski koszt (6 EUR), ale obawa o kontuzje dzieci i brak możliwości skrócenia szlaku w połowie drogi generują wysoki poziom stresu logistycznego.","Podzielcie 8-kilometrową trasę na malutkie, interaktywne etapy z natychmiastową nagrodą (np. 'dochodzimy do tamtego śmiesznego drzewa i jemy żelka/krakersa'). Urozmaicajcie wędrówkę grami słownymi i historiami. Zapewnijcie wygodne buty i upewnijcie się, że macie wodę.","Półcień. Trasa biegnie dnem wąwozu, gdzie wysokie, pionowe ściany skalne oraz drzewa dają okresowy, naturalny cień.",Dourakis Winery (Miejsce 38) - winnica leży dokładnie na trasie powrotnej z wąwozu do Stavros; idealne miejsce na wyciszenie i odpoczynek po rodzinnym trekkingu.,"1. Policz, ile razy ścieżka wąwozu staje się tak wąska, że możesz dotknąć obu skalnych ścian naraz. 2. Znajdź naturalny kamienny łuk skalny (bramę) i przejdź pod nim z podniesionymi rękami. 3. Po wyjściu w Komitades, nagródź się pysznym sokiem i zjedz tradycyjną Sfakiani Pitę."
23,Grotte marine de Koutalas,Koutalas Marine Cave,"Dzika, kamienista zatoczka i jaskinia morska na półwyspie Apokoronas, oferująca nieskażoną przyrodę, krystaliczną wodę idealną do snorkelingu i całkowity spokój z dala od tłumów.","35.4608, 24.2341",others,55 min,brak ograniczeń,rano lub wczesne popołudnie,1 - 2 godziny,0 EUR (wstęp wolny),Brak.,Brak jakiejkolwiek infrastruktury gastronomicznej na miejscu (dzika zatoka i jaskinia morska). Konieczne jest zabranie własnego jedzenia i wody.,"Dużo (Długa trasa / Duży wysiłek) - Weź solidny zapas jedzenia do samochodu na 4–5 godzin jazdy w obie strony. Nawet jeśli przy Knossos są kawiarnie, dzieci z ADHD/AuDHD po tak długiej trasie i zwiedzaniu w słońcu będą potrzebowały natychmiastowych, sprawdzonych przekąsek bez czekania w kolejkach.","Średnie - Dzika, kamienista zatoczka. Wymaga dużej uważności przy schodzeniu po skałach. Brak jakiejkolwiek infrastruktury i cienia. Wskazówki: Zabierz własny namiot/parasol przeciwsłoneczny, zapas wody i jedzenia, buty do wody.","Średni - Dzieci: Dojazd (55 min) jest umiarkowany. Dzika, pusta zatoczka to świetna, cicha przestrzeń, ale strome zejście po skałach i kompletny brak infrastruktury wymagają czujności. Rodzice: Brak kosztów (0 EUR), ale konieczność wcześniejszego spakowania pełnego prowiantu i ciągłego pilnowania dzieci na skałach generują średni poziom napięcia.","Zadbajcie o maksymalną uważność na śliskich skałach przy schodzeniu do wody. Rzucanie kamykami do morza w cichej, ustronnej zatoczce to świetne, powtarzalne ćwiczenie regulujące sensorycznie. Zabierzcie własny mały namiot plażowy i pełen prowiant.","Pełne słońce / Cień. Sama dzika plaża w zatoce i dojście są nasłonecznione, ale mała jaskinia morska daje schronienie i całkowity cień.","Ancient Aptera (Miejsce 7), mill.o.petres (Miejsce 28) - położone blisko siebie na półwyspie Apokoronas.","1. Wypatruj ukrytych wejść do jaskiń morskich tuż przy brzegu. 2. Znajdź najbardziej kolorowy kamyczek na dzikiej plaży. 3. Posłuchaj, jak fali uderzają o skały wewnątrz jaskini (porównaj to z dźwiękiem muszli przy uchu)."
24,Acropolis of Polirrinia,Acropolis of Polirrinia,"Starożytny akropol położony na malowniczym wzgórzu nad wioską Polirrinia, oferujący rzymskie grobowce wykute w skałach i spektakularną panoramę na zatokę Kissamos.","35.4542, 23.6492",others,1 godz. 10 min,brak ograniczeń,późne popołudnie (piękne widoki),1.5 - 2 godziny,0 EUR (wstęp wolny),Brak.,"Brak na samym akropolu, ale u stóp wzgórza, w klimatycznej wiosce Polirrinia działa tradycyjna kawiarnia i mała tawerna z lokalnymi przekąskami.","Średnio (Warto coś spakować) - Weź owoce, musy i małe kanapki do auta. Na miejscu nie ma pełnej restauracji, więc dzieci mogą zgłodnieć podczas zwiedzania przed właściwym obiadem.","Średnie - Spokojne ruiny na wzgórzu, brak tłumów. Wymaga krótkiego podejścia pod górę, ale na szczycie jest bezpieczna przestrzeń do biegania.","Średni - Dzieci: Dojazd (1h 10 min) jest umiarkowany. Ruiny na wzgórzu są puste i ciche (mało bodźców), ale strome podejście w słońcu może zmęczyć. Rodzice: Brak kosztów (0 EUR) i brak tłumów sprzyjają relaksowi, choć brak barierek ochronnych na szczycie wymaga stałej uwagi rodziców.",Niski poziom tłumów redukuje stres społeczny. Pozwólcie dzieciom na swobodne wchodzenie na wzgórze w ich własnym tempie. Zaplanujcie piknik sensoryczny na szczycie w cieniu starożytnych murów obronnych z pięknym widokiem na zatokę.,"Pełne słońce. Ruiny akropolu znajdują się na odsłoniętym wzgórzu z pięknym widokiem, bez żadnej ochrony przed słońcem.","Kisamos (Miejsce 17), Kastelli archaeological site (Miejsce 10) - akropol leży zaledwie 10 minut na południe od Kissamos.",1. Wspinaj się na wzgórze jak starożytny strażnik i wypatruj mitycznych wrogów na horyzoncie. 2. Znajdź rzymskie grobowce wykute bezpośrednio w skale. 3. Dotrzyj do samego szczytu z flagą i zrób tam zwycięski okrzyk.
25,Eleutherna Archaeological M...,Eleutherna Archaeological Museum,"Nowoczesne muzeum archeologiczne, będące pierwszym muzeum na stanowisku badawczym na Krecie, prezentujące sekrety antycznego miasta i jego powiązania z eposami Homera.","35.3235, 24.6789",others,1 godz. 30 min,10:00 - 18:00 (wtorki zamknięte),popołudnie (klimatyzowane sale chronią przed słońcem),1 - 2 godziny,"20 EUR (dorośli: 2x10 EUR, dzieci bezpłatnie)",Brak.,"Brak restauracji w samym nowoczesnym budynku muzeum, ale w sąsiednich wioskach (np. Margarites czy Eleftherna) znajduje się wiele tradycyjnych tawern.","Średnio (Warto coś spakować) - Weź owoce, musy i małe kanapki do auta. Na miejscu nie ma pełnej restauracji, więc dzieci mogą zgłodnieć podczas zwiedzania przed właściwym obiadem.","Trudne - Kolejne tradycyjne muzeum wymagające spokoju i ciszy, oddalone od głównych tras. Wskazówki: Zaplanuj bardzo krótką wizytę (do 30 min), skup się tylko na najciekawszych eksponatach (np. biżuterii, dawnej broni).","Wysoki - Dzieci: Dojazd (1.5 h) buduje napięcie. Tradycyjna, zamknięta i cicha przestrzeń muzealna z zakazem dotykania obiektów szybko frustruje ruchliwe dzieci. Rodzice: Zmęczenie trasą i presja kosztów (20 EUR) w połączeniu ze społecznym naciskiem na zachowanie ciszy w muzeum drastycznie podnoszą poziom stresu.","Ograniczcie wizytę w nowoczesnym, cichym muzeum do 20-30 minut. Użyjcie słuchawek wygłuszających, aby wyeliminować irytujący pogłos (echo). Po wizycie pojedźcie do pobliskiej wioski Margarites, gdzie dzieci mogą biegać i obserwować gliniane warsztaty garncarskie.","Cień (Wewnątrz). Nowoczesny, klimatyzowany budynek muzeum zapewnia doskonałą ochronę przed słońcem.",Maravel Garden (Miejsce 29) lub Dourakis Winery (Miejsce 38) - świetne połączenie archeologii z przyrodą w ogrodzie botanicznym Spili lub relaksem w winnicy.,1. Odszukaj tarczę wojownika z brązu i dotknij jej nowoczesnej kopii stworzonej specjalnie do poznawania dotykiem. 2. Znajdź w gablotach starożytne zabawki dziecięce i porównaj je ze swoimi zabawkami. 3. Spróbuj odnaleźć złote ozdoby w kształcie miniaturowych owadów lub kwiatów.
26,Holy Trinity Tzagaróli Monas...,Holy Trinity Tzagaroli Monastery,"XVII-wieczny wenecko-byzantyjski monastyr na półwyspie Akrotiri, słynący z zachwycającej architektury, spokojnych dziedzińców ogrodowych oraz produkcji ekologicznego wina i oliwy.","35.4656, 24.1248",others,15 min,od wschodu do zachodu słońca,późne popołudnie,1 - 1.5 godziny,"4 EUR (dorośli: 2x2 EUR, dzieci bezpłatnie)",Brak.,"Brak restauracji na terenie klasztoru. Mnisi prowadzą sklep z własnymi ekologicznymi wyrobami (wino, oliwa, miód, ocet), a najbliższe tawerny są w drodze na Akrotiri.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.","Średnie - Klasztor wymaga wyciszenia, odpowiedniego ubioru i spokojnego zachowania. Jednak piękne ogrody i dziedzińce działają bardzo kojąco sensorycznie. Wskazówki: Przed wejściem wyjaśnij dzieciom zasadę 'mówimy szeptem', zachęć do wąchania kwiatów w ogrodzie.","Średni - Dzieci: Bardzo blisko bazy (15 min). Piękne ogrody z kotami działają kojąco, ale wymóg ciszy i odpowiedniego ubioru w klasztorze ogranicza spontaniczność dziecka z ADHD. Rodzice: Niski koszt (4 EUR), minimalna jazda i bardzo ułatwiona, szybka ewakuacja dają rodzicom duże poczucie kontroli.","Przejażdżka urokliwym klasztorem wymaga wyciszenia, ale tutejsze ogrody i dziedziniec z kotami działają kojąco na dzieci AuDHD. Krótki dojazd (15 min) ułatwia powrót. W razie trudności z zachowaniem ciszy w świątyni, spędźcie czas na zewnątrz na pięknym, zacienionym dziedzińcu.","Półcień / Cień. Przepiękny, zadbany dziedziniec klasztorny oferuje zacienione arkady, a wnętrze zabytkowej cerkwi daje przyjemny chłód i cień.","Plaża w Stavros (Miejsce 45), Plaża Tersanas (Miejsce 46), Plaża Kalathas (Miejsce 43) - monastyr leży w sercu półwyspu Akrotiri, zaledwie kilka minut od Waszych najbliższych plaż.",1. Przejdź przez zielony labirynt cyprysów i oliwek w przyklasztornym ogrodzie. 2. Policz wszystkie koty leniwie wygrzewające się na klasztornym dziedzińcu. 3. Znajdź starożytne dzwony zawieszone wysoko na wieży.
27,The Little Fun Train - Agioi A...,The Little Fun Train - Agioi Apostoloi,"Zadaszona kolejka turystyczna oferująca atrakcyjne i bezstresowe przejażdżki po nadmorskich kurortach (Agia Marina, Platanias) i malowniczych, zielonych wioskach w rejonie Chanii.","35.5105, 23.9825",activity,30 min,według rozkładu (zazwyczaj 9:00 - 18:00 w sezonie),przedpołudnie,1 - 1.5 godziny (czas przejażdżki),"ok. 50-64 EUR (dorośli ok. 15-20 EUR, dzieci ok. 10-12 EUR za przejażdżkę)","Zalecany zakup biletów online z wyprzedzeniem w sezonie letnim, aby zagwarantować sobie miejsce.","Tak, trasa kolejki przebiega przez Agia Marina, Platanias i Agioi Apostoloi, gdzie znajduje się ogromny wybór wszelkiego rodzaju restauracji i tawern.",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Średnie - Jazda pociągiem turystycznym jest bardzo atrakcyjna i sensorycznie ciekawa (ruch, wiatr, widoki), jednak wymaga dłuższego siedzenia w jednym miejscu (ok. 1-2h) i czekania na odjazd. Wskazówki: Zabierz drobne zabawki sensoryczne (fidgety) do rąk na czas jazdy, uprzedź dziecko o trasie i czasie jej trwania.","Średni - Dzieci: Przejażdżka pociągiem jest bardzo atrakcyjna sensorycznie, ale konieczność dłuższego siedzenia w jednym miejscu (ok. 1.5 h) może wywołać niepokój ruchowy u dziecka z ADHD. Rodzice: Dość wysoki koszt (ok. 50-64 EUR) stwarza presję, by dzieci 'dobrze się bawiły' i nie marudziły podczas jazdy.","Jazda pociągiem jest bardzo atrakcyjna i dostarcza dzieciom świetnych bodźców przedsionkowych (ruch, pęd powietrza). Przygotujcie małe zabawki sensoryczne (fidgety) do rąk na czas jazdy. Uprzedźcie dzieci o czasie trwania trasy i trzymajcie pod ręką wodę.","Półcień. Wagoniki kolejki turystycznej posiadają zadaszenie chroniące przed słońcem, jednak boki są otwarte.","Mniejsza z plaż Agioi Apostoloi (Miejsce 47), Plaża miejska Nea Chora (Miejsce 44) - stacja kolejki znajduje się tuż przy plaży Agioi Apostoloi; to gotowy, bezstresowy zestaw zabawowy dla dzieci.","1. Pomachaj wszystkim przechodniom, których miniecie podczas jazdy pociągiem (policz, ile osób Ci odmacha!). 2. Słuchaj uważnie dzwonka pociągu i klaśnij w dłonie za każdym razem, gdy zadzwoni. 3. Wypatruj przez okno drzew oliwnych i pomarańczowych – kto pierwszy zobaczy owoc?"
28,Akti Tompazi 16,Akti Tompazi 16,"Punkt startowy rejsów łodzią półpodwodną Sea Adventures w weneckim porcie w Chanii, pozwalający obserwować dno morza, ryby i żółwie Caretta caretta przez duże szklane okna.","35.5178, 24.0195",activity,25 min,9:00 - 22:00,popołudnie (rezerwacja rejsów),15 - 30 min,"ok. 66-90 EUR (rejs semi-submarine: dorośli ok. 22-30 EUR, dzieci ok. 11-15 EUR)",Rekomendowana wcześniejsza rezerwacja rejsu (łódź półpodwodna zabiera maksymalnie 12 osób).,"Adres w porcie w Chanii – otoczony niezliczonymi restauracjami, kawiarniami portowymi i barami.",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Średnie - Rejs łodzią półpodwodną. Ciekawe doświadczenie patrzenia przez szyby pod wodą, ale kabina jest mała, zamknięta i klimatyzowana (może wywołać lekki niepokój u dzieci z AuDHD). Wskazówki: Przygotuj dziecko wcześniej pokazując zdjęcia łodzi, w razie niepokoju wyjdźcie na pokład górny na świeże powietrze.","Średni do Wysoki - Dzieci: Krótki dojazd (25 min). Rejs półpodwodną łodzią jest fascynujący, ale ciasna, duszna kabina pod wodą i hałas silnika mogą wywołać meltdown klaustrofobiczny u dziecka AuDHD. Rodzice: Bardzo wysoki koszt (ok. 66-90 EUR) buduje ogromną presję finansową na udaną wycieczkę.","Ciekawe doświadczenie patrzenia pod wodę, ale mała, przeszklona kabina może wywołać niepokój klaustrofobiczny u dziecka AuDHD. Pokażcie dzieciom zdjęcia łodzi przed rejsu. W razie narastającego lęku lub hałasu silnika natychmiast wyjdźcie na otwarty pokład górny na świeże powietrze.","Półcień. Pokład górny łodzi jest nasłoneczniony, natomiast dolna, przeszklona kabina pod poziomem wody jest całkowicie zacieniona i klimatyzowana.","Muzeum Archeologiczne w ... (Miejsce 4), Ledergasse Chania (Miejsce 33), Plaża miejska Nea Chora (Miejsce 44) - rejs łodzią podwodną startuje w porcie w Chanii, skąd pieszo dotrzecie do muzeów i sklepów.","1. Zejdź pod pokład i spójrz przez wielkie okna – wypatruj ogromnych żółwi morskich Caretta caretta. 2. Policz, ile rybek płynie tuż za oknem naszej łodzi podwodnej. 3. Spójrz na Chanię z pokładu i znajdź słynną wenecką latarnię morską."
29,mill.o.petres,mill.o.petres,"Zabytkowa, rzemieślnicza oliwiarnia w wiosce Kalyves, oferująca edukacyjne zwiedzanie tradycyjnego młyna oliwnego z 1962 r. oraz kreatywne warsztaty produkcji naturalnego mydła.","35.4741, 24.1132",activity,40 min,10:00 - 18:00,popołudnie (warsztaty mydlarskie i zwiedzanie),1.5 - 2 godziny,"0 EUR (wstęp wolny, warsztaty kulinarne/oliwne płatne)",Wymagana wcześniejsza rezerwacja w przypadku chęci udziału w warsztatach wyrobu mydła lub warsztatach kulinarnych.,"Oliwiarnia nie prowadzi restauracji, ale oferuje degustację wybitnej oliwy i lokalnych produktów. Pełne zaplecze restauracyjne znajduje się w Kalyves.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.","Średnie - Warsztaty wymagają skupienia i precyzji, co może frustrować młodsze dzieci z ADHD. Jednak praca z zapachami i masami kosmetycznymi to świetne doświadczenie sensoryczne. Wskazówki: Pomagaj młodszemu dziecku przy trudniejszych etapach, nie naciskaj na idealne wykonanie.","Średni - Dzieci: Dojazd (40 min) jest łatwy. Sensoryka warsztatów mydlarskich (zapachy, konsystencja) jest bardzo ciekawa, ale wymaga precyzji i cierpliwości, co może frustrować młodsze dzieci z ADHD. Rodzice: Brak opłaty za wstęp (0 EUR), kameralna atmosfera bez tłumów i przyjaźni gospodarze dają duże poczucie komfortu psychicznego.","Tradycyjne warsztaty rzemieślnicze mogą wymagać dłuższego skupienia i precyzji. Pozwólcie dzieciom badać tekstury i zapachy bazy mydlanej, olejków i ziół we własnym tempie, unikając sztywnych poleceń i pośpiechu.","Cień (Wewnątrz) / Półcień. Warsztaty odbywają się w zabytkowym, chłodnym budynku lub na zacienionym, tradycyjnym patio.","Ancient Aptera (Miejsce 7), Stemfilo Winery Paterakis (Miejsce 41) - warsztaty mydlarskie idealnie współgrają ze zwiedzaniem pobliskiej Aptery.","1. Powąchaj różne olejki eteryczne (np. lawendowy, rozmarynowy) i wybierz swój ulubiony zapach. 2. Dotknij bazy do produkcji mydła – opisz rodzicom, czy jest gładka, twarda czy śliska. 3. Stwórz swoje własne, unikalne mydełko z płatkami kwiatów."
30,Maravel Garden,Maravel Garden,"Prywatny ogród sensoryczny z ziołami i labiryntem roślin w pobliżu Spili, doskonałe miejsce na integrację sensoryczną dzieci poprzez wąchanie i dotykanie ziół.","35.2541, 24.5615",shop,1 godz. 30 min,9:00 - 18:00,rano lub popołudnie (jako przystanek w drodze na południe),1 - 1.5 godziny,"0 EUR (wstęp wolny, zakupy płatne)",Brak (wcześniejsze zgłoszenie konieczne tylko w przypadku chęci wzięcia udziału w zorganizowanych warsztatach).,"Brak restauracji na miejscu, ale ogród leży blisko malowniczej wioski Spili, gdzie znajduje się urokliwy kafenion Raftis oraz inne restauracje.","Średnio (Warto coś spakować) - Weź owoce, musy i małe kanapki do auta. Na miejscu nie ma pełnej restauracji, więc dzieci mogą zgłodnieć podczas zwiedzania przed właściwym obiadem.",Łatwe - Ogród z ziołami i labiryntem roślin. Zapachy i tekstury roślin działają kojąco i regulująco (świetna integracja sensoryczna).,"Niski - Dzieci: Dojazd (1.5 h) jest długi, ale sensoryczny labirynt ziół, zapachów i tekstur działa niezwykle regulująco i uspokajająco na dzieci AuDHD. Rodzice: Bezpłatny wstęp (0 EUR) i głęboki spokój naturalnego ogrodu pomagają wyciszyć przebodźcowany układ nerwowy rodziców.","Doskonałe miejsce na wyciszenie zmysłów. Zapachy ziół i dotykanie różnorodnych liści roślin działają niesamowicie regulująco na układ nerwowy. Przejście przez roślinny labirynt to świetna, angażująca i spokojna zabawa ruchowa dla dzieci.","Półcień / Cień. Ogrody ziołowe mają zacienione ścieżki i pergole, a budynek sklepu jest w pełni zacieniony.","Eleutherna Archaeological M... (Miejsce 24), Agios Antonios (Miejsce 20) - ogród botaniczny w Spili idealnie łączy się z innymi atrakcjami wschodniego rejonu.","1. Przejdź się po ogrodzie ziołowym i znajdź roślinę, która pachnie jak pizza (oregano!). 2. Policz kolory kwiatów rosnących w ogrodzie – spróbuj znaleźć chociaż jeden fioletowy i jeden żółty. 3. Powąchaj naturalne mydełka w sklepie i spróbuj zgadnąć, z jakich roślin powstały."
31,Lappa Avocado,Lappa Avocado,"Uroczy sklepik rzemieślniczy w Argyroupoli, specjalizujący się w produkcji i sprzedaży naturalnych, ekologicznych kosmetyków na bazie lokalnie uprawianego awokado.","35.2866, 24.3338",shop,1 godz. 10 min,9:00 - 20:00 (w sezonie),przy okazji wizyty w Argyroupoli,30 min,"0 EUR (wstęp wolny, zakupy płatne)",Brak.,"Brak restauracji w samym sklepie rzemieślniczym, ale mieści się on w Argyroupoli, słynącym z tawern przy wodospadach i źródłach.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.","Łatwe - Sklepik i strefa testowania kosmetyków z awokado. Szybka wizyta, miła, naturalna atmosfera.",Niski - Dzieci: Szybka i przyjemna wizyta sensoryczna (testowanie miękkich kremów z awokado) nie wymaga cierpliwości od dzieci z ADHD. Rodzice: Brak kosztów (0 EUR) i położenie w uroczej wiosce Argyroupoli dają elastyczność i pełen luz logistyczny.,"Szybka, bezstresowa wizyta w pachnącym awokado sklepiku. Pozwólcie dzieciom przetestować na dłoni naturalne kremy i poczuć ich konsystencję (świetna zabawa sensoryczno-dotykowa) lub napijcie się świeżej wody w cieniu.","Cień (Wewnątrz). Sklep i warsztat rzemieślniczy mieszczą się w chłodnych, zacienionych wnętrzach budynku.","Argyroupoli Waterfalls (Miejsce 6), Ancient Lappa (Miejsce 8) - sklep mieści się w tej samej miejscowości Argyroupoli, tuż obok wodospadów.","1. Dotknij liścia drzewa awokado i sprawdź, czy jest miękki czy szorstki. 2. Wypróbuj naturalny krem z awokado na swojej dłoni – sprawdź, czy Twoja skóra stała się supermiękka. 3. Policz, ile różnych kosmetyków w sklepie ma na opakowaniu rysunek zielonego awokado."
32,Ilys Ceramics,Ilys Ceramics,"Kameralny, tradycyjny warsztat i galeria ceramiki artystycznej w wiosce Margarites, gdzie można podziwiać rzemieślników przy pracy na kole garncarskim.","35.4988, 23.9055",shop,1 godz. 20 min,9:00 - 20:00,poranek (zwiedzanie Margarites bez tłumów),30 - 45 min,"0 EUR (wstęp wolny, zakupy płatne)",Brak.,"Brak restauracji w samej pracowni ceramicznej, ale warsztat leży w sercu wioski garncarskiej Margarites, gdzie działa m.in. świetna tradycyjna tawerna Mantalos.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.",Łatwe - Pracownia ceramiczna – oglądanie procesu tworzenia naczyń jest hipnotyzujące i bardzo ciekawe wizualnie (efekt 'stymowania' wzrokowego dla AuDHD).,Niski - Dzieci: Hipnotyzujący pokaz toczenia gliny na kole garncarskim przykuwa uwagę na długo i wycisza zmysły dzieci AuDHD. Rodzice: Brak opłat za wstęp (0 EUR) i przyjazny dla dzieci warsztat w spokojnej wiosce Margarites dają pełną swobodę bez pośpiechu.,"Oglądanie procesu toczenia gliny na kole garncarskim działa hipnotyzująco i niezwykle uspokajająco na dzieci AuDHD. Kupcie dziecku małą, tanią glinianą figurkę (gwizdek lub dzwoneczek) – to świetna zabawka sensoryczna na resztę dnia.",Cień (Wewnątrz). Warsztat ceramiczny i galeria znajdują się wewnątrz klimatyzowanego/zacienionego budynku.,Anoskeli Winery (Miejsce 39) lub Kisamos (Miejsce 17) - warsztat ceramiczny leży na trasie na zachód wyspy.,"1. Zobacz, jak garncarz toczy glinę na kole i spróbuj opisać, jak glina zmienia swój kształt. 2. Dotknij wilgotnej gliny i spróbuj ulepić z niej małą kuleczkę. 3. Znajdź w sklepie naczynie z motywem ośmiornicy lub rybki i policz jego ramiona/płetwy."
33,Archontakis Coffee Shop,Archontakis Coffee Shop,"Historyczny sklep i klimatyczna kawiarnia w centrum Chanii, kusząca intensywnym aromatem świeżo palonej kawy i dużymi workami pełnymi ziaren z całego świata.","35.5152, 24.0223",shop,25 min,8:00 - 21:00,rano lub popołudnie,30 - 60 min,"0 EUR (wstęp wolny, konsumpcja płatna)",Brak.,"To klimatyczna kawiarnia serwująca kawę, napoje i drobne słodkości, zlokalizowana w centrum Chanii, otoczona setkami lokali gastronomicznych.",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Łatwe - Tradycyjna, przyjazna kawiarnia. Szybka wizyta na kawę/sok, swobodna atmosfera.","Niski - Dojazd (25 min). Dzieci: Szybka wizyta w kawiarni, słodki sok i swobodna atmosfera nie obciążają uwagi ruchliwego dziecka. Rodzice: Możliwość wypicia kawy w urokliwym miejscu bez presji finansowej i z łatwym wyjściem w razie dysregulacji dzieci.","Tradycyjna, rodzinna kawiarnia. Swobodna atmosfera sprawia, że marudzenie dzieci nie budzi stresu. Zamówcie chłodny, naturalny sok pomarańczowy, odpocznijcie przy stoliku w cieniu i zaplanujcie kolejny, spokojny krok.",Cień (Wewnątrz) / Półcień. Stoliki wewnątrz kawiarni lub na zacienionym markizami tarasie.,"Muzeum Archeologiczne w ... (Miejsce 4), Akti Tompazi 16 (Miejsce 27), Plaża miejska Nea Chora (Miejsce 44) - kawiarnia i zakupy w Chanii świetnie łączą się ze zwiedzaniem starego miasta.","1. Powąchaj ziarna świeżo palonej kawy i opisz, czy ten zapach jest intensywny. 2. Policz, ile dużych worków z kawą stoi na podłodze sklepu. 3. Wybierz pyszne, słodkie ciastko i spróbuj zjeść je bez używania rąk (śmieszne wyzwanie!)."
